vacancy_id,tenant_id,vacancy_name,tenant_name,vacancy_base_url,jenjang,stream_name,jurusan_name,jurusan_filter_type,total_job_available,check_certificate,major_group_non_sma,major_group_sma,allow_sma,highest_age_sma,lowest_ipk_sma,allow_d3,highest_age_d3,lowest_ipk_d3,allow_s1,highest_age_s1,lowest_ipk_s1,allow_s2,highest_age_s2,lowest_ipk_s2,vacancy_type,major_sma_custom,major_non_sma_custom
A2BB5F1CBD67772C9969AA06EB251590,D1A22EE407325571D847AD68AFBE355F,General Banking Staff,PT Bank Tabungan Negara (Persero) Tbk,https://rekrutmenbersama2024.fhcibumn.id/,,Bisnis Niaga / Pemasaran,,all,50000,0,"[""999""]",null,0,,,0,,,1,30,3.00,0,,,Fresh Graduate,,
CA3C17BC360905E1EE9B2B410F2CDF6F,E03FB7ECABAB829270CF7A589A4ACF4C,Staf Humas PT Pegadaian Kantor Wilayah II Pekanbaru,PT Bank Rakyat Indonesia (Persero) Tbk - PT Pegadaian,https://rekrutmenbersama2024.fhcibumn.id/,,Bisnis Niaga / Pemasaran,,all,1000,0,"[""999""]",null,0,,,0,,,1,30,3.00,0,,,Fresh Graduate,,
939A24379472CD12C6C4DC46B814F539,E03FB7ECABAB829270CF7A589A4ACF4C,Staf Humas PT Pegadaian Kantor Wilayah V Manado,PT Bank Rakyat Indonesia (Persero) Tbk - PT Pegadaian,https://rekrutmenbersama2024.fhcibumn.id/,,Bisnis Niaga / Pemasaran,,all,1000,0,"[""999""]",null,0,,,0,,,1,30,3.00,0,,,Fresh Graduate,,
E13B9BE3A1421AE643A9CA4F744A1682,E03FB7ECABAB829270CF7A589A4ACF4C,Staf Humas PT Pegadaian Kantor Wilayah VI Makassar,PT Bank Rakyat Indonesia (Persero) Tbk - PT Pegadaian,https://rekrutmenbersama2024.fhcibumn.id/,,Bisnis Niaga / Pemasaran,,all,1000,0,"[""999""]",null,0,,,0,,,1,30,3.00,0,,,Fresh Graduate,,
5050E9FB13DB5C7E36B0DBA332662A4F,32C328E54E2A3435AD1937772E5E7518,Corporate Sales,PT Bank Negara Indonesia (Persero) Tbk - PT BNI Life Insurance,https://rekrutmenbersama2024.fhcibumn.id/,,Bisnis Niaga / Pemasaran,,all,4000,0,"[""999""]",null,0,,,1,45,3.00,1,45,3.00,0,,,Experience Hire,,
8DE6BC1536E0946ED6FFDCFBFC81DE58,32C328E54E2A3435AD1937772E5E7518,Actuary - Valuation Staff,PT Bank Negara Indonesia (Persero) Tbk - PT BNI Life Insurance,https://rekrutmenbersama2024.fhcibumn.id/,,Strategic Planning,,in,1000,1,"[""46""]",null,0,,,0,,,1,30,3.00,0,,,Fresh Graduate,,"Matematika,Matematika Aktuaria,Matematika Bisnis,Matematika Terapan,Aktuaria"
25ADF6DC06AB2EFD2896543546FD933A,01855BF76105ACEBCE15170FE216A897,Staf Admin ,PT Bahana Pembinaan Usaha Indonesia (Persero) - PT Asuransi Kredit Indonesia - PT Jaminan Pembiayaan Askrindo Syariah,https://rekrutmenbersama2024.fhcibumn.id/,,Keuangan,,in,1000,0,"[""13"",""45"",""4"",""43"",""81"",""34"",""46"",""56"",""69"",""70"",""65"",""60""]",null,0,,,0,,,1,30,3.00,0,,,Fresh Graduate,,"Accounting, Taxation,Komputer Akuntansi,Komputerisasi Akuntansi,Pajak dan Pabean,Perpajakan/Pajak,Accounting, Informasi System,Akuntansi dan Management,Akuntansi Manajemen,Ekonomi Akuntansi,Ilmu Akuntansi,Akuntansi,Akuntansi Keuangan,Akuntansi Perpajakan,Akuntansi Sektor Publik,Akuntansi Dan Keuangan Lembaga,Akuntansi Dan Manajemen,Akuntansi Keuangan Dan Perbankan,Akuntansi Lembaga Keuangan Syariah,Akuntansi Manajerial,Akuntansi Perbankan,Akuntansi Syariah,Akuntansi Terapan,Auditing Dan Pelaporan Keuangan,Keuangan dan Perbankan,Ekonomi,Ekonomi Terapan,Ekonomi Administrasi,Ekonomi Akuntansi Syariah,Ekonomi Bisnis,Ekonomi dan Administrasi,Ekonomi dan Bisnis,Ekonomi Dan Bisnis Internasional,Ekonomi dan bisnis islam,Ekonomi dan bisnis Islam perbankan syariah,Ekonomi dan bisnis syariah,Ekonomi dan hukum bisnis internasional,Ekonomi dan Keuangan Islam,Ekonomi dan Keuangan Syariah,Ekonomi dan Perbankan Islam,Ekonomi Geografi,Ekonomi Islam,Ekonomi Islam Konsentrasi Manajemen Keuangan Islam,Ekonomi Keuangan,Ekonomi Manajemen,Ekonomi Pemerintahan,Ekonomi Pendidikan,Ekonomi Sumber Daya Alam dan Lingkungan,Ekonomi Sumber Daya Manusia,Ekonomi Syariah,Ekonomi Umum,Perbankan,Keuangan,Ilmu Ekonomi Islam,Ilmu Ekonomi Syariah,Perbankan Syariah,Manajemen Keuangan Islam,Perbankan Syariah Kebijakan Makro Islam,Kewirausahaan Islam,Ekonomi Dan Studi Pembangunan,Ekonomi Industri,Ekonomi Internasional,Ekonomi Moneter,Ekonomi Pembangunan,Ekonomi Pembangunan Dan Perencanaan,Ekonomi Perbankan,Ekonomi Perusahaan,Ekonomi Politik,Ekonomi Publik,Ekonomi Regional,Ekonomi Sosial,Ekonomi Sumberdaya Dan Lingkungan,Ilmu Ekonomi Pertanian,Perencanaan Dan Kebijakan Publik,Bioteknologi,Kimia,Kimia Analisis,Kimia Industri,Kimia Konsentrasi Analis Medis,Kimia Tekstil,Bachelor Of Science Biodiversity And Conservation With Honors Bww,Biokimia,Biologi,Biologi Farmasi,Matematika Dan Ilmu Pengetahuan Alam,Ilmu Pengetahuan Alam,Ilmu Pengetahuan Alam Ipa,Keuangan,Keuangan Dan Perbankan Syariah,Keuangan Daerah,Keuangan Dan Perbankan,Keuangan Perbankan Syariah,Keuangan Publik,Keuangan Syariah,Ilmu Manajemen,Ilmu Manajemen Perbankan,Ilmu Manajemen Stratejik,Kebijakan dan Manajemen Publik,Kepegawaian,Manajemen,Manajemen Administrasi Niaga,Manajemen Agama,Manajemen Akuntansi,Manajemen Aset,Manajemen Asuransi,Manajemen Bisnis,Manajemen Bisnis Unggas,Manajemen dan Administrasi,Manajemen Dan Ekonomi Alam,Manajemen Divisi Kamar,Manajemen Ekonomi dan Bisnis,Manajemen Finansial,Manajemen Hutan,Manajemen Industri,Manajemen Industri Pangan,Manajemen Informasi,Manajemen Informasi Dan Dokumen,Manajemen Informatika,Manajemen Internasional,Manajemen Kesehatan,Manajemen Ketahanan Pangan,Manajemen Keuangan,Manajemen Keuangan dan Bank,Manajemen Keuangan Dan Investasi,Manajemen Kewirausahaan,Manajemen Komunikasi,Manajemen Konstruksi,Manajemen Logistik,Manajemen Material,Manajemen Operasional,Manajemen Pelayanan Rumah Sakit,Manajemen Pemasaran,Manajemen Pembangunan Daerah,Manajemen Pendidikan,Manajemen Pendidikan Islam,Manajemen Perkantoran,Manajemen Perusahaan,Manajemen Produksi Media,Manajemen Rekayasa Industri,Manajemen Resiko,Manajemen Risiko,Manajemen Rumah Sakit,Manajemen Sektor Publik,Manajemen Sistem Informasi,Manajemen Strategik Dan Perencanaan,Manajemen Stratejik,Manajemen Sumber Daya,Manajemen Sumber Daya Manusia,Manajemen Sumber daya Perairan,Manajemen Teknik,Manajemen Teknik Industri,Manajemen Teknologi,Manajemen Teknologi Informasi,Manajemen Tenaga Ekonomi,Manajemen Transpor Udara,Manajemen Transport Laut,Manajemen Transportasi,Manajemen Umum,Pasar Dan Prilaku Konsumen,Pemasaran,Pemasaran Dalam Negeri,Pemasaran dan Niaga,Pemasaran Internasional,Pengendalian Management,Manajemen Proyek,Sekretaris,Strategic Management,Manajemen Ekonomi,Permerekan,Perubahan dan Pengembangan Organisasi,Biomanajemen,Bisnis Manajemen,Desain Dan Manajemen Produk,Manajemen Bandar Udara,Manajemen Lalu Lintas Udara,Hospitality Manajemen Tata Hidangan,Hospitality Manajemen Pastry,Ilmu Manajemen Bisnis,Ilmu Manajemen Komunikasi,Manajemen Administrasi,Manajemen Administrasi Akuntansi,Manajemen Administrasi Perhotelan,Manajemen Agroindustri,Manajemen Bencana,Manajemen Berita,Manajemen Bisnis Industri,Manajemen Bisnis Internasional,Manajemen Bisnis Jasa Perjalanan Wisata,Manajemen Bisnis Konvensi Dan Event,Manajemen Bisnis Konvensi Dan Perhelatan,Manajemen Bisnis Pariwisata,Manajemen Bisnis Perjalanan,Manajemen Bisnis Perjalanan Wisata,Manajemen Bisnis Syariah,Manajemen Bisnis Telekomunikasi Dan Informatika,Manajemen Dakwah,Manajemen Dakwah Islam,Manajemen Dakwah Komunikasi,Manajemen Dan Bisnis,Manajemen Dan Kebijakan Publik,Manajemen Destinasi Pariwisata,Manajemen Isi Kamar,Manajemen Isi Kamar Perhotelan,Manajemen Event,Manajemen Haji Dan Umrah,Manajemen Hospitality,Manajemen Hotel,Manajemen Industri Jasa Makan Dan Gizi,Manajemen Industri Katering,Manajemen Informasi Dan Komunikasi,Manajemen Informasi Kesehatan,Manajemen Informatika Dan Teknik Komputer,Manajemen Islam,Manajemen Kebijakan Publik,Manajemen Kepariwisataan,Manajemen Kepelabuhan Dan Pelayaran,Manajemen Keselamatan Transportasi Jalan,Manajemen Keuangan Syariah,Manajemen Konvensi Dan Acara,Manajemen Konvensi Dan Perhelatan,Manajemen Kuliner,Manajemen Lembaga Keuangan Syariah,Manajemen Logistik Industri Agro,Manajemen Logistik Industri Elektronika,Manajemen Mice,Manajemen Obat Dan Farmasi,Manajemen Operasi Dan Produksi,Manajemen Pajak,Manajemen Pariwisata,Manajemen Patiseri,Manajemen Pelabuhan,Manajemen Pemasaran Industri Elektronika,Manajemen Pemasaran Pariwisata,Manajemen Pemerintahan,Manajemen Pendidikan Isiam,Manajemen Pendidikan Islam Bimbingan Dan Konseling Islam,Manajemen Pendidikan Kristen,Manajemen Penerbangan,Manajemen Pengaturan Perjalanan,Manajemen Pengelolaan Perhotelan,Manajemen Pengelolaan Sumberdaya Perairan,Manajemen Perbankan,Manajemen Perbankan Dan Keuangan Syariah,Manajemen Perbankan Syariah,Manajemen Perdagangan,Manajemen Perencanaan Dan Pemasaran Pariwisata,Manajemen Perhotelan Dan Pariwisata,Manajemen Perjalanan Wisata,Manajemen Perpajakan,Manajemen Pertanian Lahan Kering,Manajemen Produksi,Manajemen Produksi Siaran,Manajemen Produksi Siaran Radio Dan Televisi,Manajemen Rekayasa,Manajemen Rekayasa Perikanan Tangkap,Manajemen Rekod Dan Arsip,Manajemen Resort Dan Leisure,Manajemen Sumber Daya Air,Manajemen Sumber Daya Akuatik,Manajemen Sumber Daya Manusia Aparatur,Manajemen Sumber Daya Perikanan,Manajemen Sumber Daya Lahan,Manajemen Tata Boga,Manajemen Tata Hidangan,Manajemen Teknik Studio Produksi,Manajemen Teknologi Perikanan Tangkap,Manajemen Transportasi Logistik Material,Manajemen Transportasi Dan Logistik,Manajemen Transportasi Darat,Manajemen Transportasi Laut,Manajemen Transportasi Logistik,Manajemen Transportasi Perkeretaapian,Manajemen Usaha Perjalanan,Manajemen Usaha Perjalanan Wisata,Manajemen Usaha Peternakan,Manajemen Zakat Wakaf,Manajemen Transportasi Udara,Teknologi Manajemen Perikanan,Teknologi Dan Manajemen Budidaya Perairan,Teknologi Dan Manajemen Perikanan Budidaya,Teknologi Dan Manajemen Perikanan Budidaya Air Tawar,Teknologi Dan Manajemen Perikanan Tangkap,Teknologi Dan Manajemen Peternakan,Teknologi Dan Manajemen Produksi Perkebunan,Teknologi Produksi Dan Manajemen Perikanan Budidaya,Advertising,Advertising Periklanan,Culinary Management,Kesekretariatan,Kesekretariatan Konsentrasi Perpustakaan Dan Arsip,Kesekretariatan Perpustakaan Dan Arsip,Matematika,Matematika Aktuaria,Matematika Bisnis,Matematika Terapan,Aktuaria,Statistik Pertanian,Statistika,Statistika Aktuaria,Statistika Biomedis,Statistika Sosial,Sistem Teknologi Informasi,Architectural Decoration Engineering Technology,Teknologi Konstruksi Dan Properti,Keamanan Siber,Teknik Synth Fiber,Teknik Informatika,Teknologi dan Aplikasi Mobile,Rekayasa Perangkat Lunak,Application Development Profesional,Art And Computer Science,Artificial Intelligence Business Analytics,Computer Aided Industrial Design,Computerized Accounting,Teknologi Informatika Multimedia Digital,Teknologi Multimedia Broadcasting,Teknologi Rekayasa Multimedia,Teknologi Pengelasan Fabrikasi,Welding Engineering,Teknologi Rekayasa Otomasi,Aei Maintenance Repair,Teknologi Mekanik Industri,Teknologi Mekanika Perkeretaapian,Teknologi Mesin,Interaksi Manusia Komputer,Teknologi Informasi,Teknologi Informasi Dan Komputer,Teknologi Informasi Perbankan Syariah,test major pagi"
0E81C7373AA61158D793D06CBF0AFA57,32C328E54E2A3435AD1937772E5E7518,IT Data Center Dan Operation,PT Bank Negara Indonesia (Persero) Tbk - PT BNI Life Insurance,https://rekrutmenbersama2024.fhcibumn.id/,,Digitalisasi and IT,,in,1000,0,"[""19""]",null,0,,,0,,,1,30,3.00,0,,,Fresh Graduate,,"Sistem Informasi,Ilmu Komputasi,Komputer dan Design Teknologi,Komputer dan Sistim Informasi,Sistem Kendali Dan Komputer,Teknik Komputer,Sistem Komputer,Elektronika Instrumentasi,Instrumentasi Dan Pencitraan,Teknologi Komputer,Teknologi Komputer Dan Jaringan,Teknologi Rekayasa Internet,Teknologi Rekayasa Komputer Jaringan"
6BFDD4DCFFE0CF45F2578B261FCB493F,32C328E54E2A3435AD1937772E5E7518,IT Programmer ,PT Bank Negara Indonesia (Persero) Tbk - PT BNI Life Insurance,https://rekrutmenbersama2024.fhcibumn.id/,,Digitalisasi and IT,,in,2000,0,"[""19""]",null,0,,,0,,,1,30,3.00,0,,,Fresh Graduate,,"Sistem Informasi,Ilmu Komputasi,Komputer dan Design Teknologi,Komputer dan Sistim Informasi,Sistem Kendali Dan Komputer,Teknik Komputer,Sistem Komputer,Elektronika Instrumentasi,Instrumentasi Dan Pencitraan,Teknologi Komputer,Teknologi Komputer Dan Jaringan,Teknologi Rekayasa Internet,Teknologi Rekayasa Komputer Jaringan"
A06D1246F6B1DD605EAAF370290AF653,E03FB7ECABAB829270CF7A589A4ACF4C,Staf Humas PT Pegadaian Kantor Wilayah XII Surabaya,PT Bank Rakyat Indonesia (Persero) Tbk - PT Pegadaian,https://rekrutmenbersama2024.fhcibumn.id/,,Bisnis Niaga / Pemasaran,,all,1000,0,"[""999""]",null,0,,,0,,,1,30,3.00,0,,,Fresh Graduate,,
